,sentence,label
0,Total runs scored by SC Ganguly in match 5?,runs
1,SC Ganguly score in match 1?,runs
2,how many runs did Ganguly score in match 2?,runs
3,Sachin's score in 4th match?,runs
4,how much did McCullum scored in match 3?,runs
5,how much did McCullum scored in match 4?,runs
6,McCullum runs in match 3?,runs
7,Dravid's runs in match 2?,runs
8,Dravid's score in match 5?,runs
9,How much did RCB Score in Match 1?,runs
10,RCB Score in match 1?,runs
11,RCB runs in match 1,runs
12,total score of DD in 3rd match,runs
13,totals runs of Deccan in 8th match,runs
14,final score of DD in 3rd match,runs
15,Total runs scored by mccullum in match 5?,runs
16,Sachin score in match 1?,runs
17,how many runs did Agarkar score in match 2?,runs
18,Sachin's score in match 9?,runs
19,Dinda maximum score in match 3,max_runs
20,who was the leading run scorer in match 9,max_runs
21,highest score in match 3,max_runs
22,maximum scorer of match 2,max_runs
23,who scored the maximum run in match 3 from DD,max_runs
24,top scorer for DD in match 3,max_runs
25,top score in DD match 4?,max_runs
26,highest scorer for DD in match 4,max_runs
27,who scored maximum runs in match 6,max_runs
28,who was the top scorer in match 6,max_runs
29,who was the leading run scorer in match 9,max_runs
30,who scored maximum runs in match 6,max_runs
31,who was the top scorer in match 6,max_runs
32,who scored the maximum run match 3 by DD,max_runs
33,Rahul maximum score in match 3,max_runs
34,who was the leading run scorer in match 9,max_runs
35,highest score in match 3,max_runs
36,maximum scorer of match 2,max_runs
37,who scored the maximum run in match 3 from DD,max_runs
38,top scorer for DD in match 3,max_runs
39,top score in DD match 4?,max_runs
40,minimum score in match 3,min_runs
41,lowest score in match 3,min_runs
42,minimum scorer of match 2,min_runs
43,who scored the minimum run match 3 by DD,min_runs
44,least scorer for DD in match 3,min_runs
45,lowest score in DD match 4?,min_runs
46,low scorer for DD in match 4,min_runs
47,minimum score in match 3,min_runs
48,lowest score in match 3,min_runs
49,minimum scorer of match 2,min_runs
50,who scored the minimum run match 3 by DD,min_runs
51,least scorer for DD in match 3,min_runs
52,lowest score in DD match 4?,min_runs
53,low scorer for DD in match 4,min_runs
54,minimum score in match 3,min_runs
55,total runs scored by sachin?,total_runs
56,aggregate runs by Abhay?,total_runs
57,how many runs has sachin made in ipl 1?,total_runs
58,Total runs made by sachin?,total_runs
59,What is the total runs made by RCB?,total_runs
60,what is the runs made by RCB in ipl 9?,total_runs
61,What is the sum total runs made by RCB,total_runs
62,total runs scored by sachin?,total_runs
63,aggregate runs by Abhay?,total_runs
64,how many runs has sachin made in ipl 1?,total_runs
65,Total runs made by sachin?,total_runs
66,What is the total runs made by RCB?,total_runs
67,what is the runs made by RCB in ipl 9?,total_runs
68,What is the sum total runs made by RCB,total_runs
69,total runs scored by sachin?,total_runs
70,aggregate runs by Abhay?,total_runs
71,how many runs has sachin made in ipl 1?,total_runs
72,4s hit by Sachin in match 1?,fours
73,Fours hit by Abhay in match 5?,fours
74,how many boundaries are scored by rcb in match 6,fours
75,how many 4s are hit by rcb in match 3,fours
76,how many fours are scored by rcb in match 6,fours
77,how many boundaries are hit by kohli in this season?,fours
78,how many fours are hit by kohli in this season?,fours
79,how many 4s are hit by kohli in this season?,fours
80,how many fours are hit by kohli in this whole ipl?,fours
81,who scored most fours in entire ipl?,fours
82,4s hit by Sachin in match 1?,fours
83,Fours hit by Abhay in match 5?,fours
84,how many boundaries are hit by rcb in match 6,fours
85,how many 4s are hit by rcb in match 3,fours
86,how many fours are hit by rcb in match 6,fours
87,how many boundaries are hit by kohli in this season?,fours
88,how many fours are hit  by kohli in this season?,fours
89,how many 4s are scored by kohli in this season?,fours
90,how many fours are hit by kohli in this whole ipl?,fours
91,who scored most fours in entire ipl?,fours
92,how many balls were faced by BB McCullum in match 3?,strike_rate
93,how many deliveries were faced by BB Mccullum in match 3?,strike_rate
94,what was the strike rate of BB McCullum in match 1?,strike rate
95,BB McCullum's strike rate in 1st match?,strike rate
96,how many balls were faced by BB McCullum in match 3?,strike_rate
97,how many deliveries were faced by BB Mccullum in match 3?,strike_rate
98,what was the strike rate of BB McCullum in match 1?,strike rate
99,BB McCullum's strike rate in 1st match?,strike rate
100,how many balls were faced by BB McCullum in match 3?,strike_rate
101,how many deliveries were faced by BB Mccullum in match 3?,strike_rate
102,what was the strike rate of BB McCullum in match 1?,strike rate
103,BB McCullum's strike rate in 1st match?,strike rate
104,how many balls were faced by BB McCullum in match 3?,strike_rate
105,how many deliveries were faced by BB Mccullum in match 3?,strike_rate
106,what was the strike rate of BB McCullum in match 1?,strike rate
107,BB McCullum's strike rate in 1st match?,strike rate
108,how many balls were faced by BB McCullum in match 3?,strike_rate
109,how many deliveries were faced by BB Mccullum in match 3?,strike_rate
110,what was the strike rate of BB McCullum in match 1?,strike rate
111,BB McCullum's strike rate in 1st match?,strike rate
112,how many balls were faced by BB McCullum in match 3?,strike_rate
113,how many deliveries were faced by BB Mccullum in match 3?,strike_rate
114,how many 6s are hit by rcb in match 6,sixes
115,how many sixes are hit by rcb in match 6,sixes
116,how many 6s are hit by dd in match 1,sixes
117,how many sixes are hit by pranjal in match 2,sixes
118,what are total sixes of RR in match 2,sixes
119,what are total 6s of rcb in match 5,sixes
120,how many sixes are hit by kohli in this season?,sixes
121,how many 6s are hit by kohli in this season?,sixes
122,how many sixes are scored by kohli in this season?,sixes
123,how many 6s are scored by kohli in this season?,sixes
124,how many 6s are hit by kohli in this entire ipl?,sixes
125,how many sixes are hit by kohli in this entire ipl?,sixes
126,how many 6s are hit by kohli in this whole ipl?,sixes
127,how many sixes are hit by kohli in this whole ipl?,sixes
128,who scored most sixes in entire ipl?,sixes
129,who hit most sixes in entire ipl?,sixes
130,who scored most 6s in entire ipl?,sixes
131,who hit most 6s in entire ipl?,sixes
132,who hit most sixes in whole ipl?,sixes
133,who hit most sixes in whole ipl?,sixes
134,who hit most 6s in whole ipl?,sixes
135,how many balls were faced by BB McCullum in match 3?,strike_rate
136,how many deliveries were faced by BB Mccullum in match 3?,strike_rate
137,what was the strike rate of BB McCullum in match 1?,strike rate
138,BB McCullum's strike rate in 1st match?,strike rate
139,total runs scored by sachin?,total_runs
140,aggregate runs by Abhay?,total_runs
141,how many runs has ganguly made in ipl 1?,total_runs
142,Total runs made by mccullum?,total_runs
143,What is the total runs made by DD?,total_runs
144,what is the runs made by KKR in ipl 9?,total_runs
145,What is the sum total runs made by RR,total_runs
146,how many wickets did sc ganguly take in match 1?,bowler_wickets
147,ganguly's wickets in match 1?,bowler_wickets
148,dravid's wickets in match 15?,bowler_wickets
149,fernando's wickets in 1st match?,bowler_wickets
150,Dravid's wickets in 2nd match of IPL?,bowler_wickets
151,bowler who took highest number of wickets in match 2?,bowler_wickets
152,the player who has taken most numbe of wickets in match 4?,bowler_wickets
153,highest wicket taker in overall match 3?,bowler_wickets
154,which bowler took more number of wickets in match 10?,bowler_wickets
155,more number of wickets in match 12 are taken by?,bowler_wickets
156,leading wicket taker of match 18?,bowler_wickets
157,who secured more number of wickets in match 33?,bowler_wickets
158,which player took more number of wickets in match 54?,bowler_wickets
159,how many wickets did SC Ganguly take in match match 1?,bowler_wickets
160,who secured more number of wickets in overall IPL?,bowler_wickets
161,which bowler has most number of dismissals in match 19?,bowler_wickets
162,highest wicket taker in IPL?,bowler_wickets
163,how many wickets did sm pollock take in ipl?,bowler_wickets
164,CRD Fernando's wickets in match 31?,bowler_wickets
165,crd fernando's wickets in ipl?,bowler_wickets
166,how many dotballs did ganguly bowl?,bowler_balls
167,how many dotball did ganguly bowl?,bowler_balls
168,how many dot did ganguly bowl?,bowler_balls
169,how many dots did ganguly bowl?,bowler_balls
170,who is the bowler to give more number of dots?,bowler_balls
171,who is the bowler to give more number of dot?,bowler_balls
172,who is the bowler to give more number of dotballs?,bowler_balls
173,who is the bowler to give more number of dotballs?,bowler_balls
174,who is the bowler to give more number of dot balls?,bowler_balls
175,how many balls did SR Tendulkar bowl in match 1?,bowler_balls
176,which bowler bowled the least number of balls in match 10?,bowler_balls
177,who bowled the least number of deliveries in IPL?,bowler_balls
178,who bowled the most number of balls in IPL?,bowler_balls
179,who bowled the least number of balls in IPL?,bowler_balls
180,second highest count of number of balls bowled in a match,bowler_balls
181,how many overs did SC Ganguly bowl in match1?,bowler_balls
182,who bowled the most number of overs ib IPL?,bowler_balls
183,who bowled the least number of overs ib IPL?,bowler_balls
184,what were the number of overs bolwed by Dravid in final?,bowler_balls
185,third lowest count of number of overs bolwed in IPL,bowler_balls
186,bowler with best economy rate?,bowler_balls
187,who is the player with lowest economy rate?,bowler_balls
188,the most economical bowler in match 10?,bowler_balls
189,who is the bowler having lowest economy rate in match 18?,bowler_balls
190,who is the bowler with high number of dot balls?,bowler_balls
191,most of dots are bowled by which player in match 15?,bowler_balls
192,who bowled most number of dot deliveries?,bowler_balls
193,who is the most expensive bowler?,bowler_balls
194,how many balls did SR Tendulkar bowl in match 1?,bowler_balls
195,which bowler bowled the least number of balls in match 10?,bowler_balls
196,who bowled the least number of deliveries in IPL?,bowler_balls
197,who bowled the most number of balls in IPL?,bowler_balls
198,who bowled the least number of balls in IPL?,bowler_balls
199,second highest count of number of balls bowled in a match,bowler_balls
200,how many overs did SC Ganguly bowl in match1?,bowler_balls
201,who bowled the most number of overs ib IPL?,bowler_balls
202,who bowled the least number of overs ib IPL?,bowler_balls
203,what were the number of overs bolwed by Dravid in final?,bowler_balls
204,third lowest count of number of overs bolwed in IPL,bowler_balls
205,bowler with best economy rate?,bowler_balls
206,who is the player with lowest economy rate?,bowler_balls
207,the most economical bowler in match 10?,bowler_balls
208,who is the bowler having lowest economy rate in match 18?,bowler_balls
209,who is the most economic bowler,bowler_balls
210,who is the lowest economic bowler,bowler_balls
211,Who is the bowler with lowest economy?,bowler_balls
212,who is the bowler with high number of dot balls?,bowler_balls
213,who is the bowler with high number of dot-balls?,bowler_balls
214,most of dots are bowled by which player in match 15?,bowler_balls
215,who bowled most number of dot deliveries?,bowler_balls
216,who is the most expensive bowler?,bowler_balls
217,how many runs did sr tendulkar concede in ipl?,bolwer_runs
218,how many sixes did SC Ganguly give in IPL?,bowler_runs
219,who conceded most number of runs in IPL ?,bowler_runs
220,who conceded most nuber of fours in match 10?,bowler_runs
221,bowler who conceded most numer of sixes in match 12?,bowler_runs
222,which bowler conceded lowest boundaries in match 38?,bowler_runs
223,who has given less number of sixes in match 2?,bowler_runs
224,how many runs given by SC Ganguly in match 1?,bowler_runs
225,how many boundaries conceded by BC Lee?,bowler_runs
226,which bowler conceded maximum number of runs?,bowler_runs
227,who got hit with most number of sixes?,bowler_runs
228,what is the number of runs given by RA Jadeja?,bowler_runs
229,who has given most number of runs in final?,bowler_runs
230,bowler who gave less number of runs in semi-final?,bowler_runs
231,highest run giver in match 8?,bowler_runs
232,most runs are given by which bowler in match 3?,bowler_runs
233,how many wide balls did SC Ganguly bowl,bowler_runs
234,highest wides are bowled by?,bowler_runs
235,who bowled most number of wide-deliveries,bowler_runs
236,who bowled most number of wide-delivery,bowler_runs
237,who bowled low number of noballs,bowler_runs
238,who bowled most number of no-balls,bowler_runs
239,who bowled most number of extras,bowler_runs
240,who bowled lowest number of extras,bowler_runs
241,the bowler with more number of extra deliveries,bowler_runs
242,how many runs did sr tendulkar concede in ipl?,bowler_runs
243,how many sixes did SC Ganguly give in IPL?,bowler_runs
244,who conceded most number of runs in IPL ?,bowler_runs
245,who conceded most nuber of fours in match 10?,bowler_runs
246,bowler who conceded most numer of sixes in match 12?,bowler_runs
247,which bowler conceded lowest boundaries in match 38?,bowler_runs
248,who has given less number of sixes in match 2?,bowler_runs
249,how many runs given by SC Ganguly in match 1?,bowler_runs
250,how many boundaries conceded by BC Lee?,bowler_runs
251,which bowler conceded maximum number of runs?,bowler_runs
252,who got hit with most number of sixes?,bowler_runs
253,what is the number of runs given by RA Jadeja?,bowler_runs
254,who has given most number of runs in final?,bowler_runs
255,bowler who gave less number of runs in semi-final?,bowler_runs
256,highest run giver in match 8?,bowler_runs
257,most runs are given by which bowler in match 3?,bowler_runs
258,highest boundary giver?,bowler_runs
259,who gave highest number of 4s?,bowler_runs
260,which bowler gave lowest number of fours?,bowler_runs
261,who is the bowler who gave less four in his innings?,bowler_runs
262,highet number of six are given by which bowler?,bowler_runs
263,most number of boundaries are conceded by which bowler?,bowler_runs
264,highest number of 4s are given by ?,bowler_runs
265,highest number of 6s are given by ?,bowler_runs
266,highest number of boundaries are given by ?,bowler_runs
267,lowest number of noballs are given by ?,bowler_runs
268,how many noballs were bowled in match 10,bowler_runs
269,number of noball bowled in final,bowler_runs
270,more number of wideball are given by ?,bowler_runs
271,less number of wide balls are bowled by?,bowler_runs
272,how many wide were bowled in 10th match,bowler_runs
273,how many wides were bowled by ganguly,bowler_runs
274,wides bowled by RCB,bowler_runs
275,ganguly's 4 in match 10?,bowler_runs
276,ganguly's 6 in match 10?,bowler_runs
277,who bowled the most number of wide bals in the match?,bowler_runs
278,sachiin fours in match 10,bowler_runs
279,4 in match 10,bowler_runs
280,6s by player dhoni,bowler_runs
281,how many 6 in overall IPL,bowler_runs
282,who gave the most 6 in match 10?,bowler_runs
283,who gave the most no balls in match 10?,bowler_runs
284,who gave the most number of no balls in match 10?,bowler_runs
285,player who bowled most number of no balls?,bowler_runs
286,bowler to bowl most number of no balls?,bowler_runs
287,number of no balls in match 10?,bolwer_runs
288,high number of noballs are bowled by?,bowler_runs
289,more number of extras are bowled by?,bowler_runs
